Mes,Anio,Turistas,Fecha
Enero,2018,409,43101
Febrero,2018,280,43132
Marzo,2018,637,43160
Abril,2018,1083,43191
Mayo,2018,1350,43221
Junio,2018,906,43252
Julio,2018,1085,43282
Agosto,2018,1515,43313
Septiembre,2018,1429,43344
Octubre,2018,1490,43374
Noviembre,2018,882,43405
Diciembre,2018,324,43435
Enero,2019,441,43466
Febrero,2019,227,43497
Marzo,2019,710,43525
Abril,2019,2489,43556
Mayo,2019,1548,43586
Junio,2019,1131,43617
Julio,2019,1480,43647
Agosto,2019,2152,43678
Septiembre,2019,1823,43709
Octubre,2019,1721,43739
Noviembre,2019,1128,43770
Diciembre,2019,533,43800
Enero,2020,425,43831
Febrero,2020,253,43862
Marzo,2020,922,43891
Abril,2020,1786,43922
Mayo,2020,1449,43952
Junio,2020,1018,43983
Julio,2020,1245,44013
Agosto,2020,1833,44044
Septiembre,2020,1626,44075
Octubre,2020,1405,44105
Noviembre,2020,1005,44136
Diciembre,2020,427,44166
Enero,2021,433,44197
Febrero,2021,240,44228
Marzo,2021,1064,44256
Abril,2021,2137,44287
Mayo,2021,1499,44317
Junio,2021,1075,44348
Julio,2021,1325,44378
Agosto,2021,1993,44409
Septiembre,2021,1725,44440
Octubre,2021,1563,44470
Noviembre,2021,1067,44501
Diciembre,2021,380,44531
Enero,2022,287,44562
Febrero,2022,315,44593
Marzo,2022,494,44621
Abril,2022,1016,44652
Mayo,2022,868,44682
Junio,2022,725,44713
Julio,2022,822,44743
Agosto,2022,1062,44774
